repository_path_or_disposition	original_path_or_source	mtime	bytes	sha256
outputs/probe4.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe4.txt	2026-09-01T19:27:39+0200	5224	b43e24903e592a06b8b8f121ed3880a245bde29cb7e7401d2718cc334e3e98c9
outputs/probe5.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe5.txt	2026-09-01T19:31:54+0200	1048	d64943ee40ac15e49177b59683db3fd7464ebe9db429fe5c5e75b43201f7c5a3
outputs/probe6_out.json	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe6_out.json	2026-09-01T19:36:52+0200	29111	087d336b2c9b71c94795c94bd3e34d7187d1adfb6f1842c2aea216b327d703fc
outputs/probe6_err.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe6_err.txt	2026-09-01T19:36:52+0200	44	64286c0204ad79530bf5c73e28c6083adb52b4b63d38e8f471e47deeb742065b
outputs/probe7.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe7.txt	2026-09-01T19:40:48+0200	26572	7afdd38b5847f7b87e0be3eb384992c2f3c63d96c009a8307e0b08ce1754e06c
outputs/probe8.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe8.txt	2026-09-01T19:42:50+0200	1395	de0aa9a42d77595e5b3fef170e580bfa7789e800b423e3597dac9ea5e45a297e
outputs/probe9.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe9.txt	2026-09-01T19:46:01+0200	974	64d5168765ed09126f36bdf56651d3966763118430c6d5cb807d9ea895ef39ca
outputs/probe10.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe10.txt	2026-09-01T19:48:34+0200	1114	324ebc05ab9235ea7523f7d3f0fe31906b57acb13f95ba595c23efa6bef4f078
outputs/probe11.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe11.txt	2026-09-01T19:51:46+0200	2215	e19e9d4d42ab5422fc85fc19f2aad27e858de03b386b68c9ada26814576b451f
outputs/probe12.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe12.txt	2026-09-01T19:54:30+0200	1137	4218ec11bcbec209791d2dcd2c07bea6921c68b45cf329583ac7019203b04db3
outputs/probe13.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe13.txt	2026-09-01T19:57:48+0200	1044	8d441298f40990a65f3f91508e00c5bf21836cf0e3acb27b4a5d664c7c58b426
outputs/probe14.txt	/private/tmp/claude-501/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845/scratchpad/probe14.txt	2026-09-01T20:00:51+0200	3596	f498b9aa43b53d6a496d02f69d1e65257e5929ec55767575fbec92091fa85cae
command-records/probe-commands.jsonl	/Users/josephbailey/.claude-school/projects/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845.jsonl	2026-09-02T00:32:39+0200	35005	95784e802bc95a95f2321bd3333000179db51e6b23629fe047259458da3dfa09
EXTERNAL_SOURCE — DIGESTED, NOT COMMITTED	/Users/josephbailey/.claude-school/projects/-Users-josephbailey-local-research-MINERvA-OmniFold/1218dada-3c71-4b44-95e8-8aee2b7ad845.jsonl	2026-09-01T20:22:33+0200	1668985	50dad57708ed77aae30eded4f13edbc08a163e38a8ee96cde50bf55ffcdb3742
